Model,Train Accuracy,Test Accuracy,Train Precision,Test Precision,Train Recall,Test Recall,Train F1,Test F1,Train ROC-AUC,Test ROC-AUC,Accuracy Gap,Precision Gap,Recall Gap,F1 Gap,ROC-AUC Gap,F1 Rank
Random Forest,0.9725,0.928,0.9827134625458355,0.9143426294820717,0.9605734767025089,0.9405737704918032,0.9715173485240808,0.9272727272727272,0.9979307322468833,0.9799204341700819,0.044499999999999984,0.06837083306376379,0.01999970621070568,0.04424462125135353,0.018010298076801434,1
Logistic Regression,0.90575,0.891,0.9074457083764219,0.8782435129740519,0.8986175115207373,0.9016393442622951,0.903010033444816,0.8897876643073812,0.9684969774558001,0.9607333824282787,0.01475000000000004,0.029202195402370013,-0.0030218327415577617,0.013222369137434797,0.007763595027521442,2
